Tiếng Anh,Tiếng Việt
Durian Vine,Cây Sầu Riêng
Eggplant Stalk,Nhánh Cà Tím
Garlic Plant,Cây Tỏi
Onion Plant,Cây Hành
Pepper Plant,Cây Ớt
Pomegranate Branch,Nhánh Thạch Lựu
Potato Plant,Cây Khoai Tây
Pumpkin Plant,Cây Bí Ngô
Planted Seed,Hạt đã trồng
Rotting Plant,Cây thối rữa
Planted {seed},{seed} đã trồng
Toma Root Plant,Cây Cà Chua
Plant,Thực vật
Watermelon Plant,Cây Dưa Hấu
Garden Digamajig,Máy Xới Đất
Garden Detritus,Ụ Sỏi Vườn
Improved Farm,Vườn cải tiến
Luxury Fan,Quạt cao cấp
Feather Hat,Mũ lông chim
Feather Pencil,Bút lông vũ
Saffron Feather,Lông chim vàng
Jet Feather,Lông chim Đen
Crimson Feather,Lông chim Đỏ
Azure Feather,Lông chim Tuyết
Wood Fence,Hàng Rào
T.I.N.G.L.E. Node,Nút T.I.N.G.L.E.
T.I.N.G.L.E,T.I.N.G.L.E
Wood Gate,Cửa Gỗ
Junky Fence,Hàng Rào Rác
Fencing Sword,Liễu Kiếm
Bucket-o-poop,Xô Phân
Festive Fish Dish,Cá Lễ Hội
Festive Costume Pattern,Bản Vẽ Bộ Lễ Hội
Fig,Quả Vả
Figatoni,Mì Ống Trộn Quả Vả
Figkabab,Thịt Xiên Nướng Quả Vả
Cooked Fig,Quả Vả Rang
Fire,Lửa
Infernal Staff,Gậy Âm Phủ
Red Firecrackers,Pháo Hoa Đỏ
Fireflies,Đom đóm
Fire Hound,Chó săn lửa
Fire Nettle Fronds,Lá Tầm Ma Lửa
Dried Fire Nettle Frond,Lá Tầm Ma Lửa khô
Fiery Pen,Bút Lửa
Fire Pit,Lò Lửa
Fire Staff,Gậy Lửa
Ice Flingomatic,Máy Ném Tuyết
Fish,Câu Cá
Fishing Net,Lưới đánh cá
Freshwater Fishing Rod,Thuốc câu cá nước ngọt
Raw Fish,Cá Sống
Fish Steak,Cá Hầm
Fishy Jerky,khô cá
Fish Morsel,Thịt Cá Nhỏ
Cooked Fish Morsel,Thịt Cá Nhỏ Nướng
Small Fishy Jerky,Cá khô nhỏ
Fishsticks,Chả cá
Fish Tacos,Bánh kẹp cá
Tin Fishin' Bin,Thùng Thiếc Đi Câu
Cooked Fish,Cá rán
Flint,Đá lửa
Sky Lantern,Thiên đăng
Personal Floater,Phao cá nhân
Flower,Hoa
Garland,Vòng hoa
Flower Salad,Salad hoa
Light Flower,Hoa Đèn
Withered Light Flower,Hoa Đèn Héo
Evil Flower,Hoa quỷ
Withered Flower,Hoa khô héo
Foliage,Lá Dương Xỉ
Dried Foliage,Lá Dương Xỉ khô
Football Helmet,Nón Bầu Dục
Forget-Me-Lots,Hoa Lưu Ly
Dried Forget-Me-Lots,Khô-Quên Tôi-Rất Nhiều
Formal Costume Pattern,Bản Vẽ Bộ Lễ Phục
Fossil Cage,Lồng hóa thạch
Fossil Spike,Hóa thạch tăng đột biến
Fossil Fragments,Mảnh hóa thạch
Odd Skeleton,Bộ xương kỳ lạ
Fresh Fruit Crepes,Bánh Kếp Trái Cây Tươi
Friendly Fruit Fly,Ruồi Ăn Trái Thân Thiện
Frog,Ếch
Fish Cordon Bleu,Cá Cuộn Ham
Froggle Bunwich,Bánh mì thịt ếch
Frog Legs,Đùi ếch
Cooked Frog Legs,Đùi ếch rán
Figgy Frogwich,Bánh Ếch Quả Vả
Frozen Banana Daiquiri,Daiquiri Chuối Đông Lạnh
Saladmander,Kỳ Nhông
Fruit Fly,Ruồi Ăn Trái
Friendly Fruit Fly Fruit,Quả Ruồi Ăn Trái
Fruit Medley,Hoa quả dầm
Fur Tuft,Nhúm Lông
Fused Shadeling,Vong Linh Hợp Nhất
Dread Mite,Nỗi Kinh Hoàng Nhỏ
Suspicious Moonrock,Đá mặt trăng đáng ngờ
Garlic,Tỏi
Roasted Garlic,Tỏi Nướng
Giant Garlic,Tỏi Khổng Lồ
Giant Rotting Garlic,Tỏi Khổng Lồ Thối Rữa
Seed Pods,Hạt Tỏi
Asparagazpacho,Nước Ép Măng Tây
Gears,Bánh răng
Icker,Dịch Nhầy
Icker Jar,Lọ Dịch Nhầy
Icker Preserve,Lọ Bảo Quản Dịch Nhầy
Icker Preserve Kit,Bộ Dụng Cụ Bảo Quản Dịch Nhầy
Gem Stand,Gác ngọc
Gestalt,Sinh Vật Vô Định
Phasmo-Encapsulator,Thiết Bị Đóng Gói Linh Thể
Greater Gestalt,Đại Vô Định
Inimical Gestalt,Vô Định Thù Địch
Ghost,Ma
Mourning Glory,Hoa Tang
Wraith's Wreath,Vòng Hoa Vong Linh
Nightshade Nostrum,Thần Dược Trưng Cất
Spectral Cure-All,Thần Dược Toàn Trị
Luminous Wrath,Cơn Thịnh Nộ Rực Rỡ
Distilled Vengeance,Thần Dược Thịnh Nộ
Ghastly Experience,Trải nghiệm khủng khiếp
Cursed Vexation,Tai Ương Ma Ám
Unyielding Draught,Thần Dược Bất Khuất
Revenant Restorative,Thần Dược Hoàn Hồn
Vigor Mortis,Thần Dược Nghị Lực
Gift,Gói Quà
???,???
Gift Wrap,Giấy Gói Quà
Gingerbread Pig House,Nhà Lợn Bánh Gừng
Gingerbread Pig,Lợn Bánh Gừng
Gingerbread Varg,Chó Sói Bánh Gừng
Glass Castle,Lâu đài thủy tinh
Glass Cutter,Cưa Bóng Bẩy
Glass Cutter Blueprint,Bản Thảo Cưa Bóng Bẩy
Glass Spike,Mũi nhọn thủy tinh
Glommer,Glommer
Glommer's Flower,Hoa Glommer
Glommer's Goop,Chất nhày Glommer
Glommer's Wings,Cánh Glommer
Glow Berry Mousse,Bánh Kem Phát Quang
Gnarwail,Cá Voi Một Sừng
Gnarwail Horn,Sừng Cá Voi
Electric Milk,Sữa dê diện
Fashion Goggles,Kính Bảo Hộ Thời Trang
Luxury Axe,Rìu Xa Xỉ
Opulent Pickaxe,Cuốc Chim Sang Trọng
Snazzy Pitchfork,Chĩa xịn
Regal Shovel,Xẻng Vương Giả
Splendid Garden Hoe,Cuốc Làm Vườn Xịn
Gold Nugget,Cục vàng
Down Feather,Lông ngỗng
Grass Gator,Cá Sấu Cỏ
Grass Gekko,Tắc Kè Cỏ
Pretty Parasol,Lọng Kiều Diễm
Bigspook,Bigspook
Spirit Vessel,Bình Linh Hồn
Good Gravy,Nước Chấm Ngon
Construction Amulet,Bùa Kết Cấu
Green Gem,Ngọc Lục
Green Moonlens,Thấu Kính Mặt Trăng Lục
Deconstruction Staff,Gậy Giải Cấu Trúc
Green Cap,Nấm Lục
Cooked Green Cap,Mũ Lục chín
Green Mushroom,Nấm Lục
Green Funcap,Mũ Nấm Ngộ Nghĩnh Lục
Vitreoasis,Thác Pha Lê
Small Vitreoasis,Thác Pha Lê Nhỏ
Guacamole,Sầu riêng trộn
Guano,Phân dơi
Gunpowder,Thuốc súng
Maximum Health,Sức khỏe tối đa
Maximum Sanity,Tối đa tinh thần
Candy Apple,Kẹo Táo
Tentacle Lolli,Kẹo Mút Xúc Tua
Choco Pigs,Sô-cô-la Heo
Candy Lice,Kẹo Chấy
Otherworldly Jawbreaker,Otherworldly Jawbreaker
Lava Pepper,Ớt Dung Nham
Candy Corn,Kẹo ngô
Not-So-Candy Corn,Kẹo Bắp Ngô
Gummy Spider,Nhện Dẻo
Catcoon Candy,Kẹo Mèo Trúc
"\""Raisins\""","\""Nho Khô\"""
Raisins,Nho Khô
Ghost Pop,Kẹo Mút Ma
Jelly Worm,Sâu Nấu Đông
Brew of Phobic Abrogation,Brew of Ebrogation
Brew of Phobic Abatement,Brew of Phobic giảm
Sulfuric Crystals of Lime,Tinh Thể Lưu Huỳnh Vôi
Canteen of Sanguine Mixture,Canteen of Tanguine hỗn hợp
Flask of Sanguine Mixture,Bình hỗn hợp sanguine
Steeped Lunar Essence,Tinh chất mặt trăng dốc
Tumblerful of Psychic Fortitude,Tumbleful of Tâm lý học
Dram of Psychic Fortitude,DRAM CỦA TUYỆT VỜI
Sulfuric Crystals of Saltpeter,Tinh Thể Lưu Huỳnh Diêm Tiêu
Phobic Experiment,Thí Nghiệm Ám Ảnh
Sanguine Experiment,Thí Nghiệm Đẫm Máu
Lunar Experiment,Thí Nghiệm Mặt Trăng
Arboretum Experiment,Thí Nghiệm Ươm Trồng
Psychosis Experiment,Thí Nghiệm Tinh Thần
Sulfuric Experiment,Thí Nghiệm Lưu Huỳnh
Ghost Decoration,Hồn Ma Trang Trí
Bat Decoration,Dơi Trang Trí
Spider Decoration,Nhện Trang Trí
Tentacle Decoration,Xúc Tua Trang Trí
Dangling Depth Dweller Decoration,Nhện Đu Tơ Trang Trí
Crow Decoration,Quạ Trang Trí
Ham Bat,Chày Thịt
Hammer,Búa
Forging Hammer,Búa Rèn
Beefalo Wool Pillow,Gối Len Bò Lai
Kelp-Stuffed Pillow,Gối Nhồi Tảo
Flowery Pillow,Gối Hoa
Steel Wool Pillow,Gối Len Thép
Hare Ball,Trái Bóng Thỏ
Floral Shirt,Sơ Mi Hoa
Healing Salve,Thuốc hồi phục
Slimy Salve,Thuốc Nhầy Nhụa
Living Staff,Gậy Sự Sống
Thermal Stone,Đá nhiệt
Briar Wolf,Sói Bụi Gai
Briar,Bụi Gai
Crabby Hermit,Cua Ẩn Sĩ
Fire Nettle Tea,Trà tầm ma lửa
Foliage Tea,Trà Lá Dương Xỉ
Forget-Me-Lots Tea,Trà Hoa Lưu Ly
Lune Tree Blossom Tea,Trà Hoa Nguyệt Phong
Petal Tea,Trà Cánh Hoa
Dark Petal Tea,Trà cánh hoa đen
Succulent Tea,Trà Lá Mọng Nước
Tillweed Tea,Trà Cỏ Thìa Lìa
Pearl's Light Post,Trụ đèn của Pearl
Seaside Spoils,Chiến lợi phẩm ven biển
Pearl's Light Post Kit,Bộ đèn đăng của Pearl
Pearl,Ngọc trai
Hermit Rehomer,Bộ Tái Định Cư Ẩn Sĩ
Portage Conch,Ốc Vận Chuyển
Pearl's Tea Shop,Quán Trà Ngọc Trai
Abandoned Tea Shop,Quán trà bỏ hoang
Pearl's Hot Spring,Suối nước nóng Pearl
Dry Hot Spring,Suối nước nóng khô
Hot Spring,Suối nước nóng
Hermit Home,Nhà Ẩn Sĩ
Bloomers,Đồ lót
Stockings,Vớ
Wind Charm,Chuông gió
Pearl's Place,Điện Ngọc Trai
Bundle of Thanks,Gói Quà Tạ Ơn
Shell Bell Bundle,Gói Chuông Vỏ Ốc
Driftwood Rocker,Bập bênh Gỗ Mục
Cracked Pearl,Ngọc Trai Vỡ
Pearl's Pearl,Ngọc Trai
Bee Queen Crown,Mũ ong chúa
Sign,Bảng Hiệu
Honey,Mật ong
Honeycomb,Mạng tổ ong
Honey Ham,Đùi lợn ướp mật
Honey Nuggets,Thịt viên mật ong
Beefalo Horn,Sừng Bò Lai
Pure Horror,Kinh Dị Thuần Túy
Lucky Horseshoe,Móng ngựa may mắn
Overheating,Nóng
Spicy Chili,Súp thịt cay
Hot Spring,Hồ Nước Nóng
Hound,Chó
Bones,Xương
Hound Mound,Hang chó
Hound's Tooth,Răng chó
Howlitzer,Ống Pháo Thổi
Lucky Whistle,Còi May Mắn
Long Pig,Thịt người
Cooked Long Pig,Thịt người chín
Long Pig Jerky,Thịt người khô
Starvation,Đói
Hutch,Hutch
Star-sky,Sao Trời
Ice,Băng đá
Mini Iceberg,Iceberg nhỏ
Melted Iceberg,Iceberg tan chảy
Ice Box,Tủ lạnh
Ice Cream,Kem
Ice Cube,Khối Băng
Ice Hound,Chó săn băng
Insulated Pack,Balô lạnh
Ice Staff,Trượng băng
Flash Freeze Staff,Trượng Băng Tức Thì
Deep Freeze Staff,Trượng Đóng Băng Sâu
Frostbitten Costume Pattern,Bản Vẽ Bộ Cóng Lạnh
Obelisk,Tháp Đá
Cachebox,Hộp Tiếp Tế
Advanced Cachebox,Hộp Tiếp Tế Nâng Cao
Inspectacles,Kính Kiểm Tra
Syrup of Ipecaca,Xi Rô Nhuận Tràng
Ipecaca Poisoning,Ngộ độc Ipecaca
Mimicreep,Kẻ bắt chước
Binding Roots,Rễ Ràng Buộc
Fist Full of Jam,Mứt hoa quả
Jellybeans,Kẹo dẻo
Junk Pile,Đống Phế
Teetering Junk Pile,Đống Phế Liệu Lung Lay
Plain Omelette,Trứng ốp lết
Kabobs,Thịt xiên
Kelp Fronds,Tảo Bẹ
Seawreath,Vòng Hoa Tảo
Cooked Kelp Fronds,Tảo Bẹ chín
Dried Kelp Fronds,Tảo Bẹ Khô
Killer Bee,Ong sát thủ
Gobbler Wobbler,Gobbler wobbler
Gobbler Wobbler Kit,Bộ Wobbler Gobbler
Kit Teaser,Gợi ý
Kit Teaser Kit,Gói Gợi Ý
Kitcoon Nursery,Nhà Kitcoon
Kitcoon Nursery Kit,Bộ Nhà Kitcoon
Kitcoon,Kitcoon
Kit Collar,Bộ Vòng Cổ
Klaus,Klaus
Stag Antler,Gạc Hươu
Loot Stash,Túi Chiến Lợi Phẩm
Clockwork Knight,Quân Mã
Damaged Knight,Quân Mã hỏng
Gilded Knight,Đồng Hồ Mã Mạ Vàng
Pascal,Pascal
Desdemona,Desdemona
Fermin,Fermin
Warren,Warren
Asparagus Seeds,Hạt Măng Tây
Carrot Seeds,Hạt cà rốt
Corn Seeds,Hạt ngô
Dragon Fruit Seeds,Hạt thanh long
Durian Seeds,Hạt sầu riêng
Eggplant Seeds,Hạt cà tím
Garlic Seeds,Hạt Tỏi
Onion Seeds,Hạt Hành Tây
Pepper Seeds,Hạt Ớt
Pomegranate Seeds,Hạt lựu
Potato Seeds,Hạt Khoai Tây
Pumpkin Seeds,Hạt bí ngô
Toma Root Seeds,Hạt Cà Chua
Turnip Seeds,Hạt Củ Cải Tím
Watermelon Seeds,Hạt dưu hấu
Koalefant Carcass,Xác Koalefant
Koalefant,Voi
Fig-Stuffed Trunk,Vòi Voi Nhồi Quả Vả
Krampus,Krampus
Krampus Sack,Balô Krampus
Lantern,Đèn lồng
Latkes,Bánh Kếp
Steadfast Stone Armor,Giáp Đá Chống Động
Stone Splint Mail,Giáp Nẹp Đá
Reed Tunic,Áo Cỏ
Feathered Reed Tunic,Áo Cỏ Đính Lông Vũ
Wood Armor,Giáp Gỗ
Jagged Wood Armor,Giáp Gỗ Lởm Chởm
Silken Wood Armor,Giáp Gỗ Tơ Tằm
Jagged Grand Armor,Siêu Giáp Lởm Chởm
Steadfast Grand Armor,Siêu Giáp Chống Động
Whispering Grand Armor,Siêu Giáp Thầm Thì
Silken Grand Armor,Siêu Giáp Tơ Tằm
Battle Standard,Tiêu chuẩn chiến đấu
Battlemaster Pugna,Battlemaster Pugna
Resplendent Nox Helm,Mũ Trụ Rực Rỡ
Magma Golem,Người Đá Dung Nham
Clairvoyant Crown,Vương Miện Thấu Thị
Feathered Wreath,Feathered Wreath
Hearthsfire Crystals,Tinh Thể Nung Nóng
Flower Headband,Băng Đô Hoa
Blossomed Wreath,Vòng Hoa Nở Rộ
Blacksmith's Edge,Kiếm Nặng
Ancient Anchor,Neo cổ đại
Barbed Helm,Mũ Trụ Nhẹ
Riled Lucy,Rìu Lucy
Meteor,Thiên thạch
Ancient Gateway,Cổng cổ xưa
Crystal Tiara,Vương Miện Pha Lê
Forge Portal,Cổng Forge
Nox Helm,Mũ Trụ Nặng
Woven Garland,Vòng Hoa Đan Kết
Lavae,Trùng Nham
Chilled Lavae,Trùng nham
Lavae Egg,Trứng Trùng Nham
Extra-Adorable Lavae,Trùng Nham Cực Đáng Yêu
Lavae Tooth,Răng Trùng Nham
Dragonfly Saliva,Nước dãi Dragonfly
Magma,Dung Nham
Rock,Đá tảng
Leafy Meatloaf,Bánh Mì Thịt Lá
Veggie Burger,Bánh Mì Kẹp Rau
Jelly Salad,Thạch Rau Câu
Treeguard,Thần Rừng
Treeguard Idol,Hình Nộm Thần Rừng
Cave Lichen,Địa Y hang động
Booster Shot,Đạn Tăng Lực
Light Bulb,Trái Đèn
Crustashine,Cua Phát Sáng
Willow's Lighter,Bật lửa của Willow
Bulbous Lightbug,Bọ Trái Đèn
Lightning,Sét
Volt Goat,Vôn Dương
Volt Goat Horn,Sừng Vôn Dương
Lightning Rod,Cột thu lôi
Wee MacTusk,Hải Mã Con
Living Log,Gỗ sống
Totally Normal Tree,Cây toàn thường
Totally Normal Root,Hoàn toàn là một chiếc gốc bình thường
Totally Normal Sapling,Chỉ là một chồi non bình thường
Lobster Bisque,Súp Tôm Hùm
Lobster Dinner,Tiệc Tôm Hùm
Log,Gỗ
Lord of the Fruit Flies,Ruồi Ăn Trái Chúa
Lost Marbles,Bi Thất Lạc
Missing Teeth,Răng Giả Thất Lạc
Cherished Toy Robot,Robot Đồ Chơi Trân Quý
Mother's Favorite Teacup,Tách Trà Yêu Thích của Mẹ
Treasured Toy Trojan Horse,Ngựa Đồ Chơi Trojan Trân Quý
Favorite Spinning Top,Con Quay Nghiêng Yêu Thích
Sentimental Kazoo,Kèn Kazoo Đa Cảm
Misplaced Toy Cobra,Rắn Hổ Đồ Chơi Sai Chỗ
Beloved Crocodile Toy,Đồ Chơi Cá Sấu Yêu Quý
Prized Ball and Cup,Bóng và Cúp Thưởng
Lucky Gold Nugget,Thỏi Vàng May Mắn
Lucy the Axe,Chiếc rìu Lucy
Lumpy Sapling,Chồi cây sần
Bright-Eyed Frog,Ếch Mắt Sáng
Brightshade Helm,Nón Ánh Sáng
Brightshade Husk,Vỏ Gai Sáng Bóng
Brightshade Repair Kit,Bộ Sửa Đồ Quang Luyện
Ryftstal,Kết Tinh Vết Nứt
Rift,Vết Nứt
Lunaform Burst,Sự Nổ Phát Mặt Trăng
Deadly Brightshade,Hoa Sáng Chết Chóc
Incursive Gestalt,Bóng Sáng Vô Định
Tunneling Vine,Dây Gai Ngầm
Brightsmithy,Lò Quang Luyện
Brightsmithy Kit,Bộ Lò Quang Luyện
Grazer,Sinh Vật Vụn Vỡ
Celestial Jewel,Ngọc Thiên Thể
Lureplant,Củ Thịt
Fleshy Bulb,Củ Tươi
Lutefisk,Cá Chám
Mad Scientist Lab,Máy khoa học điên
Magician's Chest,Rương Ảo Thuật Gia
Blank Blueprint,Bản thiết kế trắng
Malbatross,Malbatross
Malbatross Bill,Mỏ Malbatross
Malbatross Feather,Lông Malbatross
Feathery Canvas,Vải Lông
Mandrake,Nhân Sâm
Mandrake Soup,Súp Nhân Sâm
Bunny Puff,Đuôi thỏ
Map Scroll,Cuộn bản đồ
Map of Totally Uninhabited Island,Bản đồ đảo hoàn toàn không có người ở
Marble,Đá cẩm thạch
Marble Bean,Hạt cẩm thạch
Marble Sprout,Mầm Cẩm Thạch
Marble Pillar,Cột cẩm thạch
Marble Shrub,Cây Cẩm Thạch
Marble Tree,Cây cẩm thạch
Spiky Tree,Cây gai
Creamy Potato Purée,Bánh Kem Khoai Tây
Visionist's Mask,Mặt nạ của người nhìn xa trông rộng
Elytra's Mask,Mặt nạ của Elytra
Artificer's Mask,Mặt nạ nghệ nhân
Blacksmith Mask,Mặt Nạ Thợ Rèn
Cracked Doll Mask,Mặt Nạ Búp Bê Nứt Vỡ
Doll Mask,Mặt Nạ Búp Bê
Shattered Doll Mask,Mặt Nạ Búp Bê Tan Vỡ
Fool Mask,Mặt Nạ Thằng Hề
Halfwit's Masque,Mặt nạ Kẻ ngốc
King Mask,Mặt Nạ Nhà Vua
Mirror Mask,Mặt Nạ Tấm Gương
Princess Mask,Mặt nạ công chúa
Queen Mask,Mặt Nạ Nữ Hoàng
Sage's Masque,Mặt nạ Nhà hiền triết
Toady's Masque,Mặt nạ Toady
Tree Mask,Mặt Nạ Cái Cây
Mast,Buồm
Deck Illuminator,Đèn Soi Sàn Tàu
Dragonfly Light Kit,Bộ đèn Ruồi Rồng
Dragonfly Light,Đèn Ruồi Rồng
Lightning Conductor,Dây Dẫn Sét
Mast Kit,Cột Buồm
Winged Sail,Buồm Cánh
Winged Sail Kit,Bộ Buồm Cánh
Dragonfly Wing Mast,Cột cánh Ruồi Rồng
Dragonfly Wing Mast Kit,Bộ cột cánh Ruồi Rồng
Maxwell,Maxwell
Maxwell's Head,Đầu Maxwell
Shadow Key,Chìa bóng đêm
Maxwell's Light,Ánh sáng Maxwell
Nightmare Lock,Khóa ác mộng
Maxwell's Phonograph,Máy điện đàm Maxwell
Nightmare Throne,Ngai vàng bóng đêm
Meat,Thịt
Meatballs,Thịt viên
Drying Rack,Giá phơi
Seaside Debris,Mảnh vụn ven biển
Large Drying Rack,Giá phơi lớn
Beefy Greens,Bít Tết Rau Tươi
Jerky,Thịt Khô
Hostile Flare,Pháo Gây Hấn
Merm,Người cá
Swamp Brawler Helmet,Mũ bảo hiểm Đấu sĩ Đầm lầy
Swamp Warrior Helmet,Mũ bảo hiểm Chiến binh Đầm lầy
Loyal Merm Guard,Vệ Binh Người Cá
Mutated Merm Guard,Vệ binh người cá đột biến
Shadow Merm Guard,Vệ binh người cá bóng đêm
Clever Disguise,Mặt Cá Ngụy Trang
Merm Head,Thủ người cá
Leaky Shack,Nhà Xiêu Vẹo
Craftsmerm House,Nhà Cá
King of the Merms,Vua Người Cá
Royal Tapestry,Thảm Hoàng Gia
DIY Royalty Kit,Công Trình Thảm
Merm Flort-ifications,Pháo Đài Cá
Armermry,Nhà Trang Bị
Superior Armermry,Nhà Trang Bị Cao Cấp
Mutated Merm,Nhân ngư đột biến
Royal-In-Progress,Hoàng gia đang tiến triển
Shadow Merm,Nhân ngư bóng đêm
Shoddy Tool,Công cụ kém chất lượng
Shoddy Tool Shed,Xưởng dụng cụ Nhân ngư
Slightly Less Shoddy Tool Shed,Xưởng dụng cụ Nhân ngư xịn
Slightly Less Shoddy Tool,Dụng cụ nhẹ và xịn
Message in a Bottle,Lời Nhắn Trong Chai
Empty Bottle,Chai Rỗng
Miasma,Chướng khí
Mighty Gym,Máy Tập Thể Hình
Friend-O-Matic Portal,Cổng thông tin bạn bè
Milky Whites,Củng Mạc Sữa
Miner Hat,Mũ thợ mỏ
Floating Lantern,Đèn Lồng Nổi
Whirly Fan,Quạt Xoay
Flare,Pháo Sáng
Mini Sign,Bảng Mini
{item} Sign,Bảng {item}
Ancient Guardian,Quản Thần Cổ Đại
Large Ornate Chest,Hòm văn hoa lớn
Guardian's Horn,Sừng Quản Thần Cổ Đại
Moleworm,Chũi Trùng
Naked Mole Bat,Chuột Trụi
Naked Mole Bat Burrow,Hang Chuột Trụi
Moggles,Mũ chuột chũi
Burrow,Hang chuột chũi
Raised Dirt,Đất nổi
Splumonkey,Khỉ Hang
Splumonkey Pod,Kén Khỉ Hang
Monkey Hut,Chòi Khỉ
Unnatural Portal,Điểm Dị Thường
Broken Machinery,Phần Máy Hỏng
Monkey Bar,Xà Khỉ
Queen of Moon Quay,Khỉ Chúa
Captain's Tricorn,Nón Hải Tặc
Pirate's Bandana,Khăn Ống Hải Tặc
Monster Lasagna,Mì thịt quái vật
Monster Meat,Thịt quái vật
Monster Jerky,Thịt quái vật khô
Monster Tartare,Thịt Quái Xốt Tacte
Moon Stone,Đá mặt trăng
Moon Moth,Bướm Đêm
Moon Moth Wings,Cánh Bướm Đêm
Lune Tree Sapling,Cành con đảo mặt trăng
Moon Dial,La Bàn Mặt Trăng
Moon Shard,Đá Vụn Trăng
Moon Glass Axe,Rìu bóng bẩy
Moon Axe Blueprint,Bản thảo Rìu Mặt Trăng
Infused Moon Shard,Mảnh Trăng Truyền
Moon Glass,Pha Lê Trăng
Moon Glass Mound,Gò Tôm Hùm
Cratered Moonrock,Ngọc Đá Mặt Trăng
Moon Rock Idol,Chìa khoá Mặt Trăng
Moon Rock,Đá Mặt Trăng
Celestial Orb,Cầu Thiên Thể
Moon Rubble,Đá Cuội Mặt Trăng
Shattered Spider Hole,Hang Nhện Hỏng
Shattered Spider,Nhện Biến Dị
Charged Glassy Rock,Pha Lê Trăng Tích Tụ
Glassy Rock,Pha Lê Trăng
Astroggles,Kính Xuyên Thấu
Astroggles Blueprint,Bản thiết kế Kính Xuyên Thấu
Moongleam,Bào Tử Bão Mặt Trăng
Energetic Static,Năng Lượng Tĩnh Điện
Static Restrainer,Bộ Giữ Tĩnh Điện
Restrained Static,Bình Nén Tĩnh Điện
Unrestrained Static,Tĩnh Điện Không Kiểm Soát
Celestial Altar,Đài Thiên Tinh
Celestial Sanctum,Chính Điện Thiên Thể
Partially Assembled Sanctum,Thánh đường được lắp ráp một phần
Celestial Tribute,Cống Vật Thiên Thể
Inactive Celestial Tribute,Cống Vật Thiên Thể Không Hoạt Động
Celestial Altar Base,Đế Thiên Tinh
Celestial Sanctum Icon,Mảnh Chính Điện
Celestial Altar Idol,Tượng Thần Thiên Tinh
Mysterious Energy,Năng Lượng Bí Ẩn
Inviting Formation,Tạo Hình Bí Ẩn
Celestial Altar Orb,Cầu Thiên Tinh
Celestial Sanctum Ward,Mảnh Chính Điện
Partially Assembled Altar,Bàn thờ lắp ráp một phần
Moon Shroom,Nấm Lam Nguyệt
Cooked Moon Shroom,Nấm Lam Nguyệt Nướng
Lunar Siphonator,Máy Bơm Nguyệt Lượng
Incomplete Experiment,Thử nghiệm chưa hoàn chỉnh
Incomplete Experiment Blueprint,Bản thiết kế thử nghiệm chưa hoàn chỉnh
Nearly Completed Experiment,Thí nghiệm gần hoàn thành
Celestial Fissure,Vết Nứt Thiên Thể
Plugged Fissure,Vết Nứt Bị Lấp
Lunar Funcap,Mũ Nấm Lam Nguyệt
Lune Tree,Cây Nguyệt Phong
Lune Tree Blossom,Hoa Nguyệt Phong
Dried Lune Tree Blossom,Hoa Lune khô
Moose,Hươu
Goose,Ngỗng
Moose Egg,Trứng hươu
Goose Egg,Trứng ngỗng
Moose Nest,Tổ hươu
Goose Nest,Tổ ngỗng
Moqueca,Canh Cá Hầm
Mosquito,Muỗi
Skeeter Bomb,Bom Muỗi
Fertilizzzer,Phân Bón
Blood Shot,Đạn Máu
Lil' Itchy,Muỗi bé cưng
Mosquito Sack,Bao tử muỗi
Mosling,Ngỗng con
Grave,Mộ
Mulled Punch,Đồ Uống Nghiền
Florid Postern,Cổng Hoa
Celestial Portal,Cổng Thiên Thể
Portal Paraphernalia,Linh Kiện Thiên Thể
Pick/Axe,Cuốc/Rìu
Mush Gnome,Nấm Lùn
Boomshroom,Bom nấm
Misery Boomshroom,Bom cóc nấm
Funcap,Mũ Nấm Ngộ Nghĩnh
Sporecap,Bào tử
Misery Sporecap,Mầm bào tử đau đớn
Mushroom Planter,Ruộng trồng nấm
Mushlight,Đèn nấm
Glowcap,Đèn Nấm Phát Quang
Red Mushtree,Cây nấm Đỏ
Lunar Mushtree,Nấm Cây Lam Nguyệt
Green Mushtree,Cây nấm Lục
Blue Mushtree,Cây nấm Lam
Webbed Blue Mushtree,Nấm Cây Vướng Mạng
Armored Bearger,Gấu Lửng Bọc Giáp
Bright-Beaked Bird,Chim mỏ sáng
Crystal-Crested Buzzard,Diều hâu pha lê
Crystal Deerclops,Deerclops Pha Lê
Horror Hound,Chó Săn Kinh Dị
Possessed Varg,Chó Sói Bị Ám
Permafrost Pengull,Cánh cụt băng giá vĩnh cửu
Dangler Switcherdoodle,Hình Nhện Đu Tơ
Nurse Switcherdoodle,Hình Nhện Cứu Thương
Cave Switcherdoodle,Hình Nhện Hang
Shatter Switcherdoodle,Hình Nhện Biến Dị
Spitter Switcherdoodle,Hình Nhện Phun Bọt
Warrior Switcherdoodle,Hình Nhện Chiến Binh
Strider Switcherdoodle,Hình Nhện Gọng Vó Biển
Flowery Costume Pattern,Bản Vẽ Bộ Hoa Cỏ
Nightcap,Mũ Ngủ
Night Light,Đèn bóng đêm
Nightmarebeak,Ác Mộng
Nightmare Fuel,Nhiên liệu Ác Mộng
Nightmare Rampart,Lũy Ác Mộng
Nightmare Light,Đèn Ác Mộng
